file	transcription
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19698530.wav	habita en aguas poco profundas y rocosas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28799578.wav	son sujetos muy sensibles emocionalmente
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19987333.wav	opera principalmente vuelos de cabotaje y regionales de carga
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27399089.wav	llamado así en honor del botánico alemán günther kunkel
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22044222.wav	tres
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19966634.wav	realizó los estudios primarios en francia para continuar luego en españa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34173510.wav	durante unos años enseñó física e historia en el colegio de nobles de parma
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19600147.wav	en los años que siguieron este trabajo esparta produjo docenas de buenos jugadores
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19635186.wav	se está tratando de recuperar su cultivo en las islas canarias
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27024238.wav	compartió escenario con eliseo parra
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27340009.wav	es originario de áfrica en somalía
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21944355.wav	sí
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19666601.wav	maite perroni no asistió por estar grabando una telenovela
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34973811.wav	desde ese momento alejandro tuvo grandes dificultades para formar un nuevo gobierno
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22165240.wav	otros propusieron que era una superpluma africana la que causaba la deformación del manto
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24983571.wav	es un cactus de fácil cultivo de crecimiento vigoroso y rápido
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27471216.wav	asimismo romano es el puente de la iglesia dentro del casco urbano
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_38426062.wav	el sistema tampoco tiene límite en un ataque frontal
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22443728.wav	forbes y mdl ayudaron a sabatini a componer y producir love me down easy
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19611823.wav	fue sacada de la serie en el episodio lead en que alexandra cabot regresó
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27066118.wav	estaba considerado un magnífico escritor estimado por su concisión
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33557151.wav	la historia del fútbol en puerto de sagunto
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20219499.wav	se ubican específicamente en el valle de moka en la provincia de bioko sur
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22165647.wav	habita en nicaragua y guatemala
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22762726.wav	mientras tanto en la nueva casa empiezan a suceder momentos paranormales durante las noches
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32118375.wav	un vez ordenado presbítero continuó los estudios y predicó en las parroquias de colonia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20259159.wav	deportivamente no ha ganado ningún título en la primera b del fútbol profesional colombiano
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27465465.wav	acción democrática postula a luis alfaro ucero como su candidato presidencial
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27338083.wav	sus restos fueron cremados en el panteón civil de dolores
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34914410.wav	scourge finalmente dejó a unicron y se reunió con los decepticons
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29829002.wav	al mismo tiempo se armaba la gruta con ladrillos piedras andamios encofrados hierros
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19606807.wav	que va a hacer todo el mal para separar los dos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28799565.wav	los firmantes de esta alianza son conocidos como las potencias del eje
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27334216.wav	crecen juntos por diez años y luego vis regresa con su madre
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22133636.wav	puede alternarse si se desea mostrar transparencia u opacidad desde el panel de control
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28807893.wav	google había presionado para el establecimiento de leyes para coches sin conductor
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30035533.wav	se encuentra en la zona holártica y la india
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19602732.wav	las lluvias y granizadas son muy frecuentes
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27206913.wav	bruzual huye a curazao donde muere al día siguiente
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20287154.wav	cursó estudios escolares en su ciudad natal y en tacna
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22077322.wav	en el lado nordeste del lago se halla una serie de precipicios
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27028059.wav	transmitida en netflix y telemundo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32234534.wav	así el equipo nació y murió por una unión de varios clubs del municipio
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27153870.wav	cloud quien tiene programadas algunas actividades
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30775838.wav	nombró al coronel bibiano saldívar cervantes su representante personal en la convención de aguascalientes
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19599359.wav	este asesinato sucedía una noche sin luna y muy oscura
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27284398.wav	plinio dice que marcaban sus cuerpos con tatuajes
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19626710.wav	al morir tras seis a ocho meses de vida se le desprende la cabeza
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19968864.wav	luego de caer en una crisis de delirio místico termina muriendo en un manicomio
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20014497.wav	simplemente los enfrentamos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26942055.wav	bridget se va a reencontrar con su gran amor eric
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19767517.wav	fue de origen belga
