sentence_id	sentence	locale	reason
a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	Necesito un llavero nuevo para las llaves	es	offensive-language
a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	Necesito un llavero nuevo para las llaves	es	grammar-or-spelling
a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	Necesito un llavero nuevo para las llaves	es	different-language
a29b85da4ca3d1870a4e8b21c5be706d89f9b644b1e3ebd84a2d1757e9b38c27	Necesito un llavero nuevo para las llaves	es	difficult-pronounce
b4f17100ff0725082bfa4138f8499e181cba419da84586d904e2f00591063b4c	otra vez ese trabajo, ¿ verdad?	es	offensive-language
7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	la donada murmuró con tímida curiosidad:	es	offensive-language
7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	la donada murmuró con tímida curiosidad:	es	grammar-or-spelling
7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	la donada murmuró con tímida curiosidad:	es	different-language
7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	la donada murmuró con tímida curiosidad:	es	difficult-pronounce
7274dca7754818f338f9bd64114eafdc927dc4eb3c6cb6efed67d3b0b02b5699	la donada murmuró con tímida curiosidad:	es	ntfuhnsdgbffnsaxnb b
sdhdjnmfdfkvsd,dsfdbgfnj ,f
fgdjng dfdj
001ccb90ce9d9a70290be1663b46cdc292787d3d76c0946ac28ff7f9a1ed6a64	Estudió en la New York University’s Tisch School of the Arts.	es	different-language
00086339fccc38f0b89bad4b75d215c5abe6adf69a5eb4d75a981ce50af23a9b	Fue parodiado como "He's Got My Name" en Johnny Johnny en Cartoon Network.	es	different-language
000ac7a31cbb67bcdaadb20e855f64c5fd0d291df92b7a927f754e3f010a2b2d	The Los Angeles Times.	es	different-language
00382614e096770b4d0086ff972ba8106dc8f943ed1c8bf680e6580d459b6dd4	Davis "et al.	es	different-language
00eaa6f45fb3b5e326f91ae07f28910fb4b35ae14aeeab0c2ea9172d613122ee	Fue acompañado por distintos científicos y amigos.	es	Se escucha entrecortado
00e78e6062347396d1245d8b4225695a896cdb398e621fb758906da3949b193a	Ambas ciudades forman una conurbación, denominada área metropolitana de Santander-Torrelavega.	es	Se escucha muy entrecortado
010d17c0b5469ae47d4c5b7afbadee0f8f0c27150f647655fd27228945bd3d58	Interactive Entertainment".	es	different-language
00df4da773c90f90df17837b142a16a31f51ceb101b5ae58d526a0b7bce018e6	La Lande-Chasles	es	different-language
0193b8485c9f43c306eaf6aa6c5f42e101f0cf8a95c3fb4f0da4d3790cd50770	La victoria francesa en la batalla fue prácticamente aplastante.	es	Por lo genera están bien pero en algunos casos no es exactamente como se hablaría en mi idioma.
01b08ba5dfe93421b070567d906622dc23542442c17f13a3b5e5447aef8917f0	Why Don't We?".	es	different-language
01dccd6009988be37d404398333fa2f02c17590dbb111cd6e9ea504367ad71a7	Por ello cuenta con un clima variado, con diferencia notables en la temperatura promedio.	es	grammar-or-spelling
01e674913d035163a0cfd3d2076105233d72908c76cee9c477d39133d7464d96	Su teorías han sido fuertemente criticadas por la comunidad científica internacional.	es	grammar-or-spelling
01f36b2920d4a633dc0c8cc268964b079bc010f64a1eb763f5c13c4949a63812	Jornada muy larga, con mucho kilómetros y con poco movimiento en el pelotón.	es	grammar-or-spelling
01dccd6009988be37d404398333fa2f02c17590dbb111cd6e9ea504367ad71a7	Por ello cuenta con un clima variado, con diferencia notables en la temperatura promedio.	es	grammar-or-spelling
01ef3e8f5f2a681552abd0b43534f67c20df24f1da401be9d21f2881c2ae37a3	Las hojas se han usado como sustituto del lúpulo en la fabricación de cerveza.	es	grammar-or-spelling
01a4b72514b8353b6ffe881300046c347a6e505c9ad650830432090928cf13ce	D. Fr.	es	difficult-pronounce
01cee240522803318b732b0fe89007ff9091346a99f44416bd6ffef3d34e96b7	Se encuentra cerca de las frontera con Bielorrusia y Ucrania.	es	grammar-or-spelling
01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	La ganadería se basa e la cría de bovinos y ovinos.	es	grammar-or-spelling
023a461973de1de1315c913f94cf8e07634750dc447b600506bf0dc9c565eb94	Está ubicada a al este de Belfort, cerca de Alto Rin.	es	grammar-or-spelling
01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	La ganadería se basa e la cría de bovinos y ovinos.	es	grammar-or-spelling
0268c19df0cf2cd8a1419dad57316177bcd51d5e1298672266a1561f1d35dce3	Se conoce a cada grupo por más de un nombre.	es	Se escucha muy mal
01a15f766c3ca31347c9c41235576b6fd9cb1a84c812b9e9a3790d58314acc48	La ganadería se basa e la cría de bovinos y ovinos.	es	grammar-or-spelling
028b65f7cab17885917aa122a265881abff64dc56ab1c6b8434051595d14a86b	S"" bajo la dirección de la Dra.	es	grammar-or-spelling
02935321b02de87414dae92ef586ea17d9956c501d2e6ffabe109679eb0ce11a	Exeter United Kingdom-Reino Unido.	es	different-language
0276e597cff5650950b53be21fa0387b9d744b6cea8d5800d38fa49cf77563b9	Du Bois Medal.	es	different-language
02ae3ea06c1ec1e59307459cf9618505b66838adf267b1ce1c466e90cb47f044	El nombre proviene del jemer អូរកែវ: "o keo", que significa ‘canal de cristal’.	es	difficult-pronounce
02ae3ea06c1ec1e59307459cf9618505b66838adf267b1ce1c466e90cb47f044	El nombre proviene del jemer អូរកែវ: "o keo", que significa ‘canal de cristal’.	es	difficult-pronounce
02a35e0177bdc4721504412e6a4773095792487bab5aa8b501e05a694207984e	Show your colours!	es	different-language
0270d4eb1a6fba4d82292f5813dedfd6faf49993ee7519ca3eac2adf06e24b97	Al final de una visita, Mrs.	es	difficult-pronounce
02a4a4cc3c69954f2f99b5b0dae8c37739f0d2c73f68aba73c0d52b781e83ce9	Kenta Hirose	es	different-language
02a0ae6c5691decf5f1d7e1e198529fd06694b53a87ba5a53f018699fe72534c	Riviera-Pays-d'Enhaut se encuentra situado al este del cantón, a orillas del lago Lemán.	es	difficult-pronounce
02c6279abeef6f5c967e5a300712e7bfc88e01c2fd2f47d4e9219e03d255167a	Eleanor Bramwell en "Bramwell", y Eleanor en "The Buddha of Suburbia".	es	difficult-pronounce
02c6279abeef6f5c967e5a300712e7bfc88e01c2fd2f47d4e9219e03d255167a	Eleanor Bramwell en "Bramwell", y Eleanor en "The Buddha of Suburbia".	es	different-language
02d28718a302d82f60ad4bf96df349f3b66ffefbe6120ce5247f49f5dabc4402	Fue nombrado Swedenborg en honor al científico, teólogo, filósofo y místico sueco Emanuel Swedenborg.	es	difficult-pronounce
02ac34a683e25ef41b1391ce7b7a7b141bcd605fadbc89ded6944b0dead2f940	La autopista inicia en el sur desde la en East St.	es	difficult-pronounce
02d94ba426ab181d5984453e7d3e010362e7acb5e29550872a0de1e1d2d7f254	Wu Shu, Shaolin Chuan y Wing Chung, como ejemplos, son Kun Do.	es	difficult-pronounce
01a4b72514b8353b6ffe881300046c347a6e505c9ad650830432090928cf13ce	D. Fr.	es	grammar-or-spelling
02d50121a28f399ad1654c71460cf991822b9b220418cea5a146f27d65c54f42	Murilo Sebastião Ramos Krieger.	es	different-language
02d03f7762801799805d9c51f546ed92d356bc805cd1c02485343d068a8a2c25	Pepper's Lonely Hearts Club Band", "Revolver", "Rubber Soul", "The Beatles" y "Abbey Road".	es	different-language
02d50121a28f399ad1654c71460cf991822b9b220418cea5a146f27d65c54f42	Murilo Sebastião Ramos Krieger.	es	different-language
02f706c74a8c79e0589af3b81f3d978dcf9fcc760c006eda1708a3b41221bd23	El lugar de centralización se ubicó a Fontainebleau.	es	grammar-or-spelling
031466e9f214530f11644812fad88c3d88b13bfdcf8aba95bf2d9ed61a37c13d	Su figura histórica aparece en la "saga de Egil Skallagrímson", y "saga Eyrbyggja".	es	different-language
031466e9f214530f11644812fad88c3d88b13bfdcf8aba95bf2d9ed61a37c13d	Su figura histórica aparece en la "saga de Egil Skallagrímson", y "saga Eyrbyggja".	es	difficult-pronounce
0315b0513071b870b6e4943cadb7a49363177ecdd1c39c067b3b5278d43360f3	Shinya Aikawa	es	different-language
