sentence_id	sentence	sentence_domain	source
000f43031f1b5eac4d88a86fdad70d83662b1e6c71f3d0cdb15c8e0b9dee1ad8	Feba bells días que el mío cuerpo sabeba que teniba que puyar.		Autocita
0019b3edb41372f2acf41d84f744e3909cfef39c5948cd3ef014f0a9b7b84736	Manimenos eba de la suya especie y teniba que fer-se a él.		Autocita
001bcd0d62198c35a62c7106c6f4c054ab16b2c3d7e81295befce5dbdd9a870a	Eba el sol que s'amagaba allá an la terra s'acaba.		Autocita
009278c774888b73aa85b195fe98ee418f8c5321e106d436c98e0c6676d0e311	La chent salliba de casa espantada		Autocita
014c081f9c8f5d927209b464caa8ef3e4903c2bf3910bf2134ac84d730fe68e3	Se llevanta pe'l maitino sin fer aparatos.		Autocita
0189cfad178ceda5e259d6d3ee953f951fd3093454659f7325d15a29fc48296e	Esto te escribo con esperanza que iré presto á ti:		Reina-Valera Antigua (RVA)
019918147bcc2c19302e0add3c25b8c581fa9b3c4f00a00079d4e30d6325c587	En sentir-los, els llops tamé se van chuntar a ista canta dolenta.		Autocita
01b19a243bcea21f09ba1b77a4f5af59b47181e9aa9bef663daa3a7b9bbfe3ae	L'hombre furro que chemeca y chilla ye l'amo d'el bar.		Autocita
01c92a5850746c25aaa08e9fbf0446192518a7c2bb484530685a704155587294	Mis razones declararán la rectitud de mi corazón, Y mis labios proferirán pura sabiduría.		Reina-Valera Antigua (RVA)
01f804b490d4c04918b786dcfb41ca72e146167f6b93fd84fce0ef89c1d77a8c	Habrála él preparado, mas el justo se vestirá, Y el inocente repartirá la plata.		Reina-Valera Antigua (RVA)
0203b1b16a40e2b060bce85cc61db6643859f6791b2a3aae5a621119b3c812d5	Va allenar un balde gran d'aigua, y se va zabucar ta drento.		Autocita
0204210396282067166c6441f7e0b19afea3aa6b0164d4ce88e42a955b02cf8a	se le forme una membrana espesa en la parte de atrás de la nariz		cdc.gov
020705044038ed7f448b8aac08effc0cef228d111dd9fbc1baf74433c3cb970b	Quien haga aplicaciones,		https://es.wikisource.org/wiki/Pr%C3%B3logo:_El_elefante_y_otros_animales
02608ddc4ae566c8a13cec3f0db39e85055fa6fbe05b57e9bf343691a3354f7b	Todos nosotros tenemos la responsabilidad de proteger nuestro planeta de origen. 		NASA.gov
03239fbad34be54d13e9821caa1d9742338f982f665f132dba549ad05fae234c	El suyo pe'l royizo brandiaba con els rayos de sol.		Autocita
03faf2e21f79344e7b2fe5b1b047e4d89bc4c98cd92e48b601a3c70ba720012c	Por verdad hallo que Dios no hace acepción de personas;		Reina-Valera Antigua (RVA)
0401df9666c565c6eb592d5130dac8588f3aa1500c126a945299519833aaeac9	Diciendo: Yo he pecado entregando la sangre inocente. Mas ellos dijeron:		Reina-Valera Antigua (RVA)
041cfec57366745655de6c426fc498a238e742bed3894607529b90c19b82a8d4	Porque si las cosas que destruí, las mismas vuelvo á edificar, transgresor me hago.		Reina-Valera Antigua (RVA)
